NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Port of Changjiangkou,PORT_CNCJK,ALL#WORLD#ASIA#CHN#PORT_CNCJK,false,,PORT_TERMINAL,CHN,1,PORT_TERMINAL,2
Skaw,PORT_DKSKW,ALL#WORLD#EUR#DNK#PORT_DKSKW,false,,PORT_TERMINAL,DNK,1,PORT_TERMINAL,2
Neuwied,DEB18,ALL#WORLD#EUR#DEU#DEB#DEB1#DEB18,false,,DEPARTMENT,DEU,3,MUNICIPALITY,2
Brisbane,PORT_AUBNE,ALL#WORLD#OCE#AUS#PORT_AUBNE,false,,PORT_TERMINAL,AUS,1,PORT_TERMINAL,2
Denmark,DK0,ALL#WORLD#EUR#DNK#DK0,false,,NATIONAL_REGION,DNK,1,REGION,2
Haskovo,HASKV,ALL#WORLD#EUR#BGR#HASKV,false,,STATE,BGR,1,REGION,2
West,PT1D1,ALL#WORLD#EUR#PRT#PT1#PT1D#PT1D1,false,,DEPARTMENT,PRT,3,FREGUESIA,4
Port Pirie,PIRIE,ALL#WORLD#OCE#AUS#AUWES#PIRIE,false,,CITY,AUS,2,LOCAL GOVERNMENT AREA,2
Yantai,PORT_CNYTG,ALL#WORLD#ASIA#CHN#PORT_CNYTG,false,,PORT_TERMINAL,CHN,1,PORT_TERMINAL,2
Sao Paulo,PORT_BRSAO,ALL#WORLD#SOAME#BRA#PORT_BRSAO,false,,PORT_TERMINAL,BRA,1,PORT_TERMINAL,2
Elbe-Elster,DE407,ALL#WORLD#EUR#DEU#DE4#DE40#DE407,false,,DEPARTMENT,DEU,3,MUNICIPALITY,2
Rostov,ROST,ALL#WORLD#EUR#RUS#ROST,false,,CITY,RUS,1,REPUBLIC,2
Newport TN,PORT_USNOZ,ALL#WORLD#NOAME#USA#PORT_USNOZ,false,,PORT_TERMINAL,USA,1,PORT_TERMINAL,2
Prahova,PRAH,ALL#WORLD#EUR#ROU#PRAH,false,,COUNTY,ROU,1,DEPARTMENT,2
Northwest,ITC,ALL#WORLD#EUR#ITA#ITC,false,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION,3
Davao,PORT_PHDVO,ALL#WORLD#ASIA#PHL#PORT_PHDVO,false,,PORT_TERMINAL,PHL,1,PORT_TERMINAL,2
Bandirma,BANDIRMA,ALL#WORLD#ASIA#TUR#BANDIRMA,false,,CITY,TUR,1,PROVINCE,2
Itajaí,PORT_BRITJ,ALL#WORLD#SOAME#BRA#PORT_BRITJ,false,,PORT_TERMINAL,BRA,1,PORT_TERMINAL,2
