NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Fortaleza,PORT_BRFOR,ALL#WORLD#Americas#SOAME#BRA#PORT_BRFOR,false,,PORT_TERMINAL
Porbandar,PORB,ALL#WORLD#ASIA#IND#WESTI#GUJAR#PORB,false,,CITY
North East ND,NO_EA_ND,ALL#WORLD#NOAME#USA#NOPLA#NODAK#NO_EA_ND,false,,REGION
Monastir,MON,ALL#WORLD#AFRMI#TUN#MON,false,,REGION
Oum El Bouaghi,OUMELBOU,ALL#WORLD#DZA#OUMELBOU,false,,REGION
Tagonoura,TAGO,ALL#WORLD#ASIA#JPN#TAGO,false,,CITY
Hacker Valley WV,HACKERVALLEYWV,ALL#WORLD#NOAME#USA#APPAL#WESTV#HACKERVALLEYWV,false,,CITY
Calarasi,PORT_ROCAS,ALL#WORLD#EUR#ROU#PORT_ROCAS,false,,PORT_TERMINAL
Mississippi River AR,MRARKAN,ALL#WORLD#NOAME#USA#DELTA#ARKAN#MRARKAN,false,,REGION
Ullapara,ULLAPARA,ALL#WORLD#ASIA#BGD#ULLAPARA,false,,CITY
Kiên Giang,KIEN_GIANG,ALL#WORLD#ASIA#VNM#KIEN_GIANG,false,,REGION
Hauts-de-France,FRE,ALL#WORLD#EUR#FRA#FRE,false,,NATIONAL_REGION
Santa Fe,PORT_ARSFN,ALL#WORLD#Americas#SOAME#ARG#PORT_ARSFN,false,,PORT_TERMINAL
M'Sila,MSILA,ALL#WORLD#DZA#MSILA,false,,REGION
PADD 6,PADD6,PADD6,true,"[
  ""PRI"",
  ""VIR""
]",
Sinaloa,SIN,ALL#WORLD#NOAME#MEX#SIN,false,,STATE
Esatern Norway,NOR_E,ALL#WORLD#WESTE#NOR#NOR_E,false,,NATIONAL_REGION
Dunedin Port,PORT_DUND,ALL#WORLD#OCEAN#NZL#PORT_DUND,false,,PORT_TERMINAL
Stellenbosch,STLNBSH,ALL#WORLD#EASTA#ZAF#CAPE#STLNBSH,false,,CITY
Ha Long,HALONG,ALL#WORLD#ASIA#VNM#HALONG,false,,CITY
