NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PROBLEM,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,COLUMN_PROBLEM
Central Anatolia,TR7,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,TUR,1.0,PROVINCE,NAME
Battle Creek MI,BATTLECREEKMI,ALL#WORLD#NOAME#USA#EASCB#MICHI,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
Battle Creek MI,BACMI,ALL#WORLD#NOAME#USA#EASCB#MICHI,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
Karlsruhe,KARLSRUHE---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Karlsruhe,DE12,ALL#WORLD#EUR#DEU#DE1,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Gaucha Do Norte,GAUCHA_DO_NORTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Gaúcha do Norte,GAUCHADONORTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Centre-Val de Loire,CENTRVAL,ALL#WORLD#EUR#FRA,False,,REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Centre-Val de Loire,FRB,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Provence-Alpes-Côte d’Azur,FRL0,ALL#WORLD#EUR#FRA#FRL,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Provence-Alpes-Côte d'Azur,PROVE,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
